CodDestino;Destino;Tipo;Regiao
1;Rio de Janeiro;Praia;Sudeste
2;Sao Paulo;Cultural;Sudeste
3;Salvador;Praia;Nordeste
4;Floripa;Praia;Sul
5;Porto Alegre;Cultural;Sul
6;Bonito;Ecoturismo;Centro-Oeste
7;Ouro Preto;Cultural;Sudeste
8;Olinda;Cultural;Nordeste
9;Paraty;Cultural;Sudeste
10;Fernando Noronha;Ecoturismo;Nordeste
11;Floresta Amazonica;Ecoturismo;Norte
12;Bento Gonçalves;Rural;Sul
13;Cabaceiras;Rural;Nordeste
14;Chapada dos Veadeiros;Ecoturismo;Centro-Oeste
15;Chapada dos Guimaraes;Ecoturismo;Centro-Oeste
